epoch,total,rec,kl,beta
260,120.706633,115.383887,5.322746,1.0000
261,120.688471,115.508679,5.179792,1.0000
262,120.526547,115.301789,5.224758,1.0000
263,120.550499,115.235266,5.315232,1.0000
264,120.500911,115.391095,5.109816,1.0000
265,120.489413,115.190069,5.299344,1.0000
266,120.621877,115.416662,5.205215,1.0000
267,120.639325,115.372433,5.266892,1.0000
268,120.686250,115.398715,5.287535,1.0000
269,120.656856,115.351361,5.305495,1.0000
270,120.587654,115.222538,5.365116,1.0000
271,120.514206,115.238704,5.275502,1.0000
272,120.456723,115.191748,5.264975,1.0000
273,120.565881,115.244773,5.321108,1.0000
274,120.534698,115.173228,5.361470,1.0000
275,120.573055,115.393396,5.179659,1.0000
276,120.653367,115.257269,5.396098,1.0000
277,120.648015,115.355338,5.292677,1.0000
278,120.533621,115.323530,5.210091,1.0000
279,120.343482,115.067020,5.276462,1.0000
280,120.490804,115.166522,5.324282,1.0000
281,120.410804,115.118912,5.291893,1.0000
282,120.521203,115.211922,5.309281,1.0000
283,120.380249,114.978534,5.401715,1.0000
284,120.431469,115.185401,5.246067,1.0000
285,120.492395,115.126663,5.365732,1.0000
286,120.432592,115.160997,5.271594,1.0000
287,120.484306,115.230324,5.253981,1.0000
288,120.580432,115.206718,5.373714,1.0000
289,120.529225,115.232642,5.296583,1.0000
290,120.450012,115.129517,5.320494,1.0000
291,120.633877,115.307074,5.326803,1.0000
292,120.391616,115.128752,5.262864,1.0000
293,120.676646,115.324072,5.352575,1.0000
294,120.482113,115.180708,5.301405,1.0000
295,120.454196,115.164987,5.289210,1.0000
296,120.333734,114.964166,5.369568,1.0000
297,120.417307,115.072590,5.344717,1.0000
298,120.307365,115.035539,5.271825,1.0000
299,120.392160,115.004932,5.387228,1.0000
300,120.370926,115.135563,5.235363,1.0000
301,120.456680,115.174470,5.282209,1.0000
302,120.254617,114.916860,5.337757,1.0000
303,120.284923,115.009008,5.275915,1.0000
304,120.264689,114.919354,5.345335,1.0000
305,120.291293,114.961108,5.330185,1.0000
306,120.193834,114.870661,5.323173,1.0000
307,120.186597,114.809702,5.376894,1.0000
308,120.251309,114.883464,5.367845,1.0000
309,120.425143,115.109741,5.315402,1.0000
310,120.484907,115.137274,5.347633,1.0000
311,120.376534,115.140965,5.235568,1.0000
312,120.217670,114.831022,5.386648,1.0000
313,120.257720,114.935961,5.321760,1.0000
314,120.085454,114.755624,5.329830,1.0000
315,120.099871,114.721720,5.378150,1.0000
316,120.095872,114.821799,5.274073,1.0000
317,120.080534,114.687639,5.392895,1.0000
318,120.176172,114.815309,5.360863,1.0000
319,120.137706,114.734502,5.403204,1.0000
320,120.103301,114.733123,5.370179,1.0000
321,120.113639,114.741492,5.372147,1.0000
322,120.353516,114.946884,5.406632,1.0000
323,120.086842,114.764073,5.322769,1.0000
324,120.109724,114.665219,5.444505,1.0000
325,120.116974,114.764937,5.352037,1.0000
326,120.209800,114.828097,5.381703,1.0000
327,120.319494,114.981877,5.337617,1.0000
328,120.328436,114.865040,5.463396,1.0000
329,120.052362,114.705448,5.346914,1.0000
330,120.107322,114.640897,5.466425,1.0000
331,120.059234,114.679436,5.379798,1.0000
332,120.142631,114.722981,5.419649,1.0000
333,120.163631,114.762642,5.400989,1.0000
334,120.046219,114.692935,5.353284,1.0000
335,120.154400,114.740210,5.414189,1.0000
336,120.077679,114.756920,5.320759,1.0000
337,120.007515,114.613164,5.394352,1.0000
338,119.925494,114.567330,5.358163,1.0000
339,119.936895,114.631003,5.305892,1.0000
340,119.827952,114.432138,5.395814,1.0000
341,119.967230,114.599932,5.367298,1.0000
342,119.923918,114.526580,5.397337,1.0000
343,120.155834,114.748743,5.407091,1.0000
344,119.949294,114.576890,5.372404,1.0000
345,119.911200,114.512401,5.398799,1.0000
346,119.865779,114.485543,5.380236,1.0000
347,119.738210,114.359048,5.379162,1.0000
348,119.758307,114.400139,5.358168,1.0000
349,119.855802,114.403008,5.452794,1.0000
350,119.831450,114.442540,5.388909,1.0000
351,119.899578,114.473366,5.426213,1.0000
352,119.933949,114.513456,5.420493,1.0000
